machine_name,is_active,queue_target_time,current_queue_length,total_phases_processed,completed_phases,in_progress_phases,avg_cycle_time,avg_actual_duration,avg_queue_delay,avg_finish_delay,total_quantity_processed,unique_operators,efficiency_percentage,utilization_percentage
Piega 1,True,1310,62,43,36,7,93.48837209302326,-3578.806338888888,507.2115910632184,277.03988097222225,222,3,-2.6122780402263563,-161.69305747991964
Taglio,True,1310,66,45,40,5,56.266666666666666,-55718.14910217393,1860.2384425542004,947.6325288888889,325,3,-0.10098445044089116,-3255.8877778201227
Assemblaggio,True,1310,24,26,6,14,30.192307692307693,5682.174875,102.39933981481477,-9.620441944444384,12,2,0.5313512582153272,71.744632260101
Filettatura,True,2325,31,12,5,2,37.5,11357.02045,1087.9298302777777,1037.331381388889,0,1,0.3301922380530714,338.0065610119048
Zincatura,True,1310,20,6,2,1,25.0,,,1552.457757777778,0,1,,
Verniciatura,True,1310,17,22,5,15,175.63636363636363,354.45455000000004,345.47009027777784,840.7499472222222,5,2,49.551166330454386,1.2955210160818713
Saldatura,True,1310,61,41,38,3,67.34146341463415,12397.34473076923,488.2162498971194,649.5053842156863,231,3,0.5431926342057583,404.5318310742972
Smerigliatura,True,1310,22,10,2,8,180.1,,1362.460173888889,-1747.0578969444443,12,2,,
Svasatura,True,1310,25,2,0,2,184.0,,980.513163611111,,0,1,,
